1.,Kai'Sa                                                                                                    AD Carry,23.3%,49.1%,7.7%,8.2                                            /                                            6.4                                            /                                            6.8,0.0035
2,Jhin,21.8%,50.8%,3.8%,0.0030,8.0 , 5.9 , 8.5
3,Ezreal,20.4%,48.2%,5.5%,0.0019,6.9 , 6.3 , 7.6
4,Caitlyn,20.0%,48.6%,15.5%,0.0028,7.4 , 6.6 , 7.2
5,Lux,19.4%,50.3%,9.1%,0.0002,5.3 , 6.4 , 11.0
6,Yasuo,18.0%,49.3%,27.5%,0.0025,7.0 , 7.7 , 5.4
7,Lee Sin,18.0%,47.5%,17.4%,0.0008,7.5 , 6.1 , 8.8
8,Yone,17.6%,49.2%,33.9%,0.0023,7.1 , 7.3 , 5.3
9.,Jinx                                                                                                    AD Carry,17.5%,51.2%,4.5%,7.4                                            /                                            6.5                                            /                                            7.8,0.0063
10,Vayne,17.2%,53.0%,28.2%,0.0092,8.1 , 6.7 , 5.7
11,Zed,15.0%,49.2%,49.5%,0.0014,9.2 , 6.6 , 5.9
12,Lulu,13.6%,52.4%,25.7%,0.0000,1.7 , 5.5 , 15.2
13,Graves,13.3%,50.6%,15.4%,0.0022,7.3 , 6.0 , 6.9
14,Viego,13.1%,50.5%,14.4%,0.0038,8.2 , 6.3 , 6.8
15,Thresh,13.1%,47.6%,6.9%,0.0000,2.0 , 6.8 , 14.6
16.,"Viktor                                                                                                    Mid, Top",12.6%,52.4%,20.6%,6.2                                            /                                            5.9                                            /                                            7.0,0.0014
17,Irelia,12.3%,49.4%,27.6%,0.0032,7.5 , 7.6 , 4.7
18,Akali,12.0%,47.7%,10.8%,0.0015,8.4 , 6.3 , 5.0
19,Jayce,11.6%,48.0%,6.8%,0.0018,6.8 , 7.2 , 6.2
20,Lucian,11.1%,47.9%,4.7%,0.0028,8.3 , 7.0 , 6.6
21,Xerath,10.3%,50.8%,10.3%,0.0003,5.6 , 6.1 , 10.3
22,Yuumi,10.3%,49.5%,29.9%,0.0000,2.1 , 4.6 , 16.6
23,Pyke,10.3%,49.2%,9.6%,0.0032,7.8 , 7.7 , 8.8
24,Nami,10.3%,51.9%,3.4%,0.0000,2.4 , 6.1 , 16.5
25,Ekko,9.8%,50.4%,4.1%,0.0018,8.2 , 6.0 , 6.9
26,Kayn,9.8%,49.8%,11.1%,0.0019,8.3 , 6.8 , 7.6
27,Twitch,9.7%,49.7%,3.8%,0.0051,9.9 , 7.5 , 7.4
28,Blitzcrank,9.6%,51.6%,21.2%,0.0000,2.5 , 6.6 , 13.2
29,Talon,9.5%,49.4%,20.5%,0.0014,9.1 , 6.9 , 6.9
30,Sylas,9.2%,48.9%,4.3%,0.0018,7.6 , 7.2 , 6.8
31.,"Vex                                                                                                    Mid, Support",9.1%,50.5%,19.1%,7.0                                            /                                            6.7                                            /                                            8.3,0.0012
32,Shaco,9.0%,51.2%,19.9%,0.0008,8.3 , 6.3 , 8.5
33,Qiyana,8.8%,49.0%,6.7%,0.0019,9.3 , 7.2 , 6.4
34,Akshan,8.7%,52.4%,18.4%,0.0030,9.0 , 7.0 , 6.0
35,Ashe,8.7%,51.8%,1.0%,0.0013,6.2 , 6.7 , 9.7
36,Morgana,8.5%,50.4%,32.0%,0.0000,3.4 , 6.8 , 13.3
37,Samira,8.4%,49.2%,13.5%,0.0158,9.4 , 7.4 , 6.5
38,Leona,8.3%,50.0%,19.4%,0.0000,2.1 , 6.8 , 13.5
39,Sett,8.3%,49.7%,6.3%,0.0004,5.8 , 6.7 , 6.1
40,Master Yi,8.0%,50.3%,12.6%,0.0179,9.8 , 7.5 , 5.0
41,Gangplank,8.0%,45.5%,2.6%,0.0020,6.5 , 7.0 , 6.7
42,Corki,8.0%,48.9%,5.9%,0.0024,7.4 , 7.2 , 7.3
43,Katarina,7.9%,49.2%,9.4%,0.0098,9.9 , 7.4 , 6.0
44,Soraka,7.9%,53.3%,4.5%,0.0000,1.1 , 6.0 , 15.3
45,Karma,7.5%,49.1%,1.2%,0.0000,2.7 , 6.2 , 13.5
