1,Kai'Sa,23.30%,49.10%,7.70%,0.0035,8.2,6.4,6.8
2,Jhin,21.80%,50.80%,3.80%,0.003,8,5.9,8.5
3,Ezreal,20.40%,48.20%,5.50%,0.0019,6.9,6.3,7.6
4,Caitlyn,20.00%,48.60%,15.50%,0.0028,7.4,6.6,7.2
5,Lux,19.40%,50.30%,9.10%,0.0002,5.3,6.4,11
6,Yasuo,18.00%,49.30%,27.50%,0.0025,7,7.7,5.4
7,Lee Sin,18.00%,47.50%,17.40%,0.0008,7.5,6.1,8.8
8,Yone,17.60%,49.20%,33.90%,0.0023,7.1,7.3,5.3
9,Jinx,17.50%,51.20%,4.50%,0.0063,7.4,6.5,7.8
10,Vayne,17.20%,53.00%,28.20%,0.0092,8.1,6.7,5.7
11,Zed,15.00%,49.20%,49.50%,0.0014,9.2,6.6,5.9
12,Lulu,13.60%,52.40%,25.70%,0,1.7,5.5,15.2
13,Graves,13.30%,50.60%,15.40%,0.0022,7.3,6,6.9
14,Viego,13.10%,50.50%,14.40%,0.0038,8.2,6.3,6.8
15,Thresh,13.10%,47.60%,6.90%,0,2,6.8,14.6
16,Viktor,12.60%,52.40%,20.60%,0.0014,6.2,5.9,7
17,Irelia,12.30%,49.40%,27.60%,0.0032,7.5,7.6,4.7
18,Akali,12.00%,47.70%,10.80%,0.0015,8.4,6.3,5
19,Jayce,11.60%,48.00%,6.80%,0.0018,6.8,7.2,6.2
20,Lucian,11.10%,47.90%,4.70%,0.0028,8.3,7,6.6
21,Xerath,10.30%,50.80%,10.30%,0.0003,5.6,6.1,10.3
22,Yuumi,10.30%,49.50%,29.90%,0,2.1,4.6,16.6
23,Pyke,10.30%,49.20%,9.60%,0.0032,7.8,7.7,8.8
24,Nami,10.30%,51.90%,3.40%,0,2.4,6.1,16.5
25,Ekko,9.80%,50.40%,4.10%,0.0018,8.2,6,6.9
26,Kayn,9.80%,49.80%,11.10%,0.0019,8.3,6.8,7.6
27,Twitch,9.70%,49.70%,3.80%,0.0051,9.9,7.5,7.4
28,Blitzcrank,9.60%,51.60%,21.20%,0,2.5,6.6,13.2
29,Talon,9.50%,49.40%,20.50%,0.0014,9.1,6.9,6.9
30,Sylas,9.20%,48.90%,4.30%,0.0018,7.6,7.2,6.8
31,Vex,9.10%,50.50%,19.10%,0.0012,7,6.7,8.3
32,Shaco,9.00%,51.20%,19.90%,0.0008,8.3,6.3,8.5
33,Qiyana,8.80%,49.00%,6.70%,0.0019,9.3,7.2,6.4
34,Akshan,8.70%,52.40%,18.40%,0.003,9,7,6
35,Ashe,8.70%,51.80%,1.00%,0.0013,6.2,6.7,9.7
36,Morgana,8.50%,50.40%,32.00%,0,3.4,6.8,13.3
37,Samira,8.40%,49.20%,13.50%,0.0158,9.4,7.4,6.5
38,Leona,8.30%,50.00%,19.40%,0,2.1,6.8,13.5
39,Sett,8.30%,49.70%,6.30%,0.0004,5.8,6.7,6.1
40,Master Yi,8.00%,50.30%,12.60%,0.0179,9.8,7.5,5
41,Gangplank,8.00%,45.50%,2.60%,0.002,6.5,7,6.7
42,Corki,8.00%,48.90%,5.90%,0.0024,7.4,7.2,7.3
43,Katarina,7.90%,49.20%,9.40%,0.0098,9.9,7.4,6
44,Soraka,7.90%,53.30%,4.50%,0,1.1,6,15.3
45,Karma,7.50%,49.10%,1.20%,0,2.7,6.2,13.5
46,Kha'Zix,7.40%,51.20%,7.20%,0.0026,9.4,6.4,6.3
47,Jax,7.30%,50.40%,9.00%,0.0017,6.7,6.7,4.4
48,Nautilus,7.00%,49.80%,8.80%,0,2.4,6.9,13.4
49,Draven,6.80%,50.20%,9.50%,0.0068,8.7,7.2,6.1
50,Miss Fortune,6.80%,49.10%,0.90%,0.0042,7.6,7,8
51,Vi,6.70%,52.50%,4.10%,0.0006,7.2,6.3,8.2
52,Darius,6.70%,49.80%,16.70%,0.0064,7.1,6.4,4.7
53,LeBlanc,6.60%,48.50%,13.20%,0.0004,7.6,5.5,6.9
54,Senna,6.60%,48.30%,2.10%,0.0006,4.8,7.2,12.5
55,Camille,6.60%,50.40%,8.50%,0.0007,6.6,6.4,6.1
56,Teemo,6.50%,51.00%,10.80%,0.0007,6.2,7.2,6
57,Warwick,6.50%,52.00%,3.90%,0.0008,8,6.9,7.6
58,Brand,6.30%,49.70%,4.20%,0.0004,6,8.6,9.5
59,Fiora,6.30%,50.00%,10.00%,0.0013,6.4,6.3,4.6
60,Sion,6.30%,49.80%,1.00%,0.0003,5.3,7.7,6.7
61,Aphelios,6.10%,46.30%,1.60%,0.0045,7.1,7,6.5
62,Tahm Kench,6.00%,51.60%,16.10%,0.0002,5.2,5.2,8.2
63,Trundle,5.90%,52.90%,2.30%,0.0008,6.2,5.8,7.7
64,Garen,5.70%,51.90%,2.20%,0.001,7,5.6,4.7
65,Malphite,5.70%,51.00%,5.20%,0.0003,5.1,5.7,8.6
66,Hecarim,5.60%,51.00%,3.30%,0.0026,8,5.8,9.1
67,Riven,5.60%,49.10%,1.90%,0.0016,6.8,6.3,5.3
68,Vladimir,5.50%,50.70%,5.30%,0.0038,7.1,5.9,5.9
69,Zac,5.50%,51.10%,2.10%,0.0001,5.2,5.1,11.7
70,Twisted Fate,5.50%,48.90%,0.60%,0.0004,5.2,6.7,9.5
71,Shen,5.30%,52.50%,1.10%,0,4.4,5.4,11
72,Xin Zhao,5.30%,51.10%,4.10%,0.0011,7,6.3,8
73,Tryndamere,5.30%,50.30%,8.90%,0.0015,7.2,6.1,4.1
74,Kassadin,5.20%,51.60%,12.70%,0.0078,8.2,5.9,5.8
75,Nunu & Willump,5.10%,51.40%,2.10%,0.0003,5.5,6.2,12.1
76,Aatrox,5.10%,49.30%,2.40%,0.0015,6,6.1,6.1
77,Nidalee,5.10%,47.60%,1.60%,0.0006,7.9,5.7,7.6
78,Poppy,5.00%,51.50%,3.10%,0.0002,6,5.9,8.9
79,Ahri,4.90%,51.30%,0.90%,0.0002,6.5,5.9,7.9
80,Gragas,4.80%,49.20%,0.40%,0.0005,5.5,5.8,8.8
81,Kayle,4.70%,52.80%,1.20%,0.0048,5.9,6.2,5.9
82,Nasus,4.70%,51.80%,3.60%,0.0019,5.4,5.5,5.5
83,Sona,4.70%,54.00%,0.60%,0,2.5,6,15.4
84,Mordekaiser,4.60%,49.30%,4.00%,0.001,6.7,6.5,5
85,Rengar,4.50%,47.00%,1.70%,0.0019,8.7,7.1,5.9
86,Diana,4.50%,49.10%,1.60%,0.0013,7.8,6.9,7.2
87,Veigar,4.50%,50.10%,0.80%,0.0006,7.2,6.5,7.4
88,Volibear,4.50%,49.00%,1.40%,0.0009,6,6.4,7
89,Rakan,4.50%,49.30%,0.40%,0,1.9,6.1,15
90,Jarvan IV,4.40%,50.10%,0.60%,0.0006,6.2,6,13
91,Alistar,4.30%,49.40%,1.30%,0,2,6.7,14.3
92,Gwen,4.30%,47.90%,2.90%,0.0023,6.3,6.5,5
93,Janna,4.30%,51.40%,0.30%,0,2,6,15.5
94,Syndra,4.30%,47.90%,0.90%,0.0005,6.6,6.3,7
95,Seraphine,4.30%,50.10%,0.90%,0.0001,3.5,6.6,13.1
96,Dr. Mundo,4.30%,52.00%,3.10%,0.0005,5.2,5.5,7.2
97,Tristana,4.20%,48.40%,1.30%,0.0026,8.4,6.8,6.2
98,Zilean,4.20%,52.20%,1.40%,0,2.7,5.5,14.1
99,Anivia,4.20%,53.00%,3.30%,0.0006,6.6,5.7,7.9
100,Kindred,4.10%,48.70%,1.60%,0.0041,8.4,7.1,6.9
101,Zyra,4.10%,51.80%,1.80%,0.0001,4.2,7.6,11.1
102,Lillia,4.00%,49.80%,1.20%,0.0015,7.1,6.4,8.5
103,Pantheon,3.90%,48.80%,0.90%,0.0012,7.1,7.6,8.4
104,Varus,3.80%,47.80%,0.30%,0.0019,7.8,6.9,7.5
105,Xayah,3.70%,48.40%,0.50%,0.0036,7.4,6.6,7.4
106,Renekton,3.60%,47.70%,1.90%,0.0001,5.6,6,5.9
107,Swain,3.60%,49.50%,1.10%,0.0012,5.8,7.7,11.4
108,Malzahar,3.60%,51.10%,3.10%,0.0004,5.1,6.3,7.9
109,Cho'Gath,3.60%,50.90%,1.00%,0.0002,6.4,6.1,6.8
110,Evelynn,3.50%,49.00%,8.50%,0.0011,9.6,6,7.1
111,Fiddlesticks,3.50%,50.70%,2.30%,0.0005,6.2,6.2,9.5
112,Bard,3.50%,48.70%,0.40%,0,2.9,6.3,14.5
113,Fizz,3.50%,51.00%,4.50%,0.0018,8.9,6.4,6
114,Cassiopeia,3.40%,51.00%,1.70%,0.0008,7.2,6.6,6.2
115,Zoe,3.40%,47.90%,1.10%,0.0003,6.9,6.3,7.7
116,Ornn,3.40%,52.30%,0.40%,0.0001,4.1,5.7,9.2
117,Amumu,3.30%,52.30%,1.60%,0,5,6.4,11.2
118,Nocturne,3.20%,48.30%,5.20%,0.0007,8.1,6.9,7.6
119,Orianna,3.20%,49.60%,0.20%,0.001,5.3,5.8,9.6
120,Galio,3.20%,48.20%,0.50%,0.0001,4.1,6.6,11.4
121,Lissandra,3.20%,50.70%,0.80%,0.0011,5.7,6.5,9.1
122,Vel'Koz,3.10%,49.90%,0.40%,0.0002,5.6,6.7,9.5
123,Braum,3.10%,50.70%,0.50%,0,1.7,6.2,15.4
124,Karthus,3.10%,49.70%,1.30%,0.0009,8.3,8.1,9.9
125,Kog'Maw,3.00%,52.80%,0.50%,0.0042,8.8,7.2,7.2
126,Urgot,3.00%,52.20%,1.30%,0.0011,6.7,6.3,5.6
127,Ziggs,3.00%,51.30%,0.60%,0.0004,5.8,6.3,8.8
128,Ryze,3.00%,45.90%,0.30%,0.0004,5.4,6.2,6.7
129,Rammus,2.90%,51.70%,3.60%,0,5.1,6,11.8
130,Elise,2.90%,50.60%,2.70%,0.0006,7.6,6.1,7.8
131,Gnar,2.80%,48.90%,0.70%,0.0004,5.4,6.2,6.8
132,Sivir,2.80%,50.60%,0.30%,0.0029,6.6,6.4,8.8
133,Rek'Sai,2.70%,51.50%,1.50%,0.0007,9,6.4,7.4
134,Sejuani,2.60%,52.20%,0.30%,0.0002,5.3,5.5,11.6
135,Wukong,2.50%,51.20%,0.60%,0.0007,6.7,5.9,6.3
136,Yorick,2.50%,52.70%,1.50%,0.0003,4.5,5.5,4.4
137,Annie,2.40%,50.50%,0.80%,0.0008,7,6.7,8.2
138,Udyr,2.40%,49.30%,0.70%,0.0008,6.1,5.8,7.7
139,Maokai,2.40%,50.50%,0.20%,0,2.9,6.7,11.7
140,Singed,2.40%,50.40%,0.30%,0.0006,4.8,6.9,8.9
141,Kennen,2.40%,48.10%,0.70%,0.001,5.6,6.1,6.4
142,Shyvana,2.30%,49.00%,0.30%,0.0014,7.1,5.9,6.8
143,Kalista,2.10%,48.40%,0.20%,0.0043,9,7.2,6.3
144,Rell,2.10%,49.60%,0.80%,0,2.2,7.2,14.3
145,Rumble,1.90%,48.20%,0.20%,0.0003,6.7,6.5,7.5
146,Taliyah,1.80%,49.80%,0.20%,0.0016,7.9,7,9
147,Heimerdinger,1.80%,51.10%,0.50%,0.0004,5.3,6.9,7.1
148,Kled,1.80%,51.00%,0.80%,0.0006,6.5,6.1,7.5
149,Illaoi,1.80%,48.70%,1.20%,0.0008,5.2,6.8,4.7
150,Quinn,1.70%,51.90%,0.60%,0.0008,7.6,7.5,6.9
151,Neeko,1.70%,47.30%,0.20%,0,5.6,6.8,7.9
152,Azir,1.60%,45.30%,0.20%,0.001,5.6,6.5,6.9
153,Ivern,1.60%,48.60%,0.40%,0,2.7,5.4,13.5
154,Taric,1.50%,49.80%,0.10%,0,2,6.4,14.5
155,Olaf,1.50%,48.40%,0.90%,0.0013,7.3,6.5,7.1
156,Skarner,1.00%,51.60%,0.10%,0,4.6,5.5,10.3
157,Aurelion Sol,1.00%,49.90%,0.30%,0.0003,6.3,6.7,9.3
