Name,Role
Aatrox,TOP
Ahri,MID
Akali,MID
Akali,TOP
Akshan,MID
Akshan,TOP
Alistar,SUPPORT
Amumu,JUNGLE
Amumu,SUPPORT
Anivia,MID
Anivia,SUPPORT
Annie,MID
Aphelios,ADC
Ashe,ADC
Aurelion Sol,MID
Azir,MID
Bard,SUPPORT
Blitzcrank,SUPPORT
Brand,SUPPORT
Brand,MID
Braum,SUPPORT
Caitlyn,ADC
Camille,TOP
Cassiopeia,MID
Cassiopeia,TOP
Cho'Gath,TOP
Cho'Gath,MID
Corki,MID
Darius,TOP
Diana,JUNGLE
Diana,MID
,
Dr. Mundo,TOP
Draven,ADC
Ekko,JUNGLE
Ekko,MID
Elise,JUNGLE
Evelynn,JUNGLE
Ezreal,ADC
Fiddlesticks,JUNGLE
Fiora,TOP
Fizz,MID
Galio,MID
Galio,SUPPORT
Gangplank,TOP
Gangplank,MID
Garen,TOP
Gnar,TOP
Gragas,JUNGLE
Gragas,TOP
Gragas,SUPPORT
Graves,JUNGLE
Graves,TOP
Gwen,TOP
Gwen,JUNGLE
Hecarim,JUNGLE
Heimerdinger,MID
Heimerdinger,ADC
Heimerdinger,TOP
Illaoi,TOP
Irelia,TOP
Irelia,MID
Ivern,JUNGLE
,
Janna,SUPPORT
Jarvan IV,JUNGLE
Jax,TOP
Jax,JUNGLE
Jayce,TOP
Jayce,MID
Jhin,ADC
Jinx,ADC
Kai'Sa,ADC
Kalista,ADC
Karma,SUPPORT
Karthus,JUNGLE
Karthus,ADC
Karthus,MID
Kassadin,MID
Katarina,MID
Kayle,TOP
Kayle,MID
Kayn,JUNGLE
Kennen,MID
Kennen,TOP
Kha'Zix,JUNGLE
Kindred,JUNGLE
Kled,TOP
Kog'Maw,ADC
LeBlanc,MID
Lee Sin,JUNGLE
Leona,SUPPORT
Lillia,JUNGLE
Lillia,TOP
Lissandra,MID
,
Lucian,ADC
Lulu,SUPPORT
Lux,SUPPORT
Lux,MID
Malphite,TOP
Malphite,MID
Malphite,SUPPORT
Malzahar,MID
Maokai,SUPPORT
Maokai,TOP
Master Yi,JUNGLE
Miss Fortune,ADC
Mordekaiser,TOP
Morgana,SUPPORT
Nami,SUPPORT
Nasus,TOP
Nautilus,SUPPORT
Neeko,MID
Neeko,SUPPORT
Nidalee,JUNGLE
Nocturne,JUNGLE
Nunu,JUNGLE
Olaf,JUNGLE
Olaf,TOP
Orianna,MID
Ornn,TOP
Pantheon,MID
Pantheon,SUPPORT
Pantheon,TOP
Poppy,JUNGLE
Poppy,TOP
,
Pyke,SUPPORT
Qiyana,MID
Qiyana,JUNGLE
Quinn,TOP
Rakan,SUPPORT
Rammus,JUNGLE
Rek'Sai,JUNGLE
Rell,SUPPORT
Renekton,TOP
Renekton,MID
Rengar,JUNGLE
Rengar,TOP
Riven,TOP
Rumble,MID
Rumble,JUNGLE
Rumble,TOP
Ryze,MID
Ryze,TOP
Samira,ADC
Sejuani,JUNGLE
Sejuani,TOP
Senna,SUPPORT
Senna,ADC
Seraphine,MID
Seraphine,ADC
Seraphine,SUPPORT
Sett,TOP
Shaco,JUNGLE
Shaco,SUPPORT
Shen,TOP
Shyvana,JUNGLE
Shyvana,TOP
Singed,TOP
Sion,TOP
Sivir,ADC
Skarner,JUNGLE
Skarner,TOP
Sona,SUPPORT
Soraka,SUPPORT
Swain,ADC
Swain,SUPPORT
Swain,MID
Sylas,MID
Sylas,TOP
Syndra,MID
Tahm Kench,TOP
Taliyah,SUPPORT
Taliyah,MID
Taliyah,JUNGLE
Talon,JUNGLE
Talon,MID
Taric,SUPPORT
Teemo,TOP
Thresh,SUPPORT
Tristana,ADC
Trundle,JUNGLE
Trundle,TOP
Tryndamere,TOP
Tryndamere,MID
Twisted Fate,MID
Twitch,ADC
Udyr,JUNGLE
Urgot,TOP
Varus,ADC
Vayne,ADC
Vayne,TOP
Veigar,MID
Veigar,SUPPORT
Veigar,ADC
Vel'Koz,MID
Vel'Koz,SUPPORT
Vex,MID
Vex,SUPPORT
Vi,JUNGLE
Viego,JUNGLE
Viktor,MID
Viktor,TOP
Vladimir,MID
Vladimir,TOP
Volibear,JUNGLE
Volibear,TOP
Warwick,JUNGLE
Warwick,TOP
Wukong,TOP
Wukong,JUNGLE
Xayah,ADC
Xerath,MID
Xerath,SUPPORT
Xin Zhao,JUNGLE
Yasuo,MID
Yasuo,TOP
Yasuo,ADC
Yone,TOP
Yone,MID
Yorick,TOP
Yuumi,SUPPORT
Zac,JUNGLE
Zed,MID
Zed,JUNGLE
Ziggs,ADC
Ziggs,MID
Zilean,SUPPORT
Zilean,MID
Zoe,MID
Zyra,SUPPORT
